PID,RegistrationID,InstrumentID,AssessmentName,InstrumentTitle,ItemID,Key,Value
DV18mo,2F0803BF-514A-41ED-B61E-3C2526894BED,859711C8-D798-442E-8CB4-55847E2642F4,Assessment 5,Verbal Arithmetic,REMA_Title,InstrumentOrder,1
DV18mo,2F0803BF-514A-41ED-B61E-3C2526894BED,859711C8-D798-442E-8CB4-55847E2642F4,Assessment 5,Verbal Arithmetic,REMA_Title,InstrumentSection,1
DV18mo,2F0803BF-514A-41ED-B61E-3C2526894BED,859711C8-D798-442E-8CB4-55847E2642F4,Assessment 5,Verbal Arithmetic,REMA_Title,ItemOrder,1
DV18mo,2F0803BF-514A-41ED-B61E-3C2526894BED,859711C8-D798-442E-8CB4-55847E2642F4,Assessment 5,Verbal Arithmetic,REMA_Title,Response,1
DV18mo,2F0803BF-514A-41ED-B61E-3C2526894BED,859711C8-D798-442E-8CB4-55847E2642F4,Assessment 5,Verbal Arithmetic,REMA_Title,Position,1
DV18mo,2F0803BF-514A-41ED-B61E-3C2526894BED,859711C8-D798-442E-8CB4-55847E2642F4,Assessment 5,Verbal Arithmetic,REMA_Title,DateCreated,2023-03-09T13:04:20-0600
DV18mo,2F0803BF-514A-41ED-B61E-3C2526894BED,859711C8-D798-442E-8CB4-55847E2642F4,Assessment 5,Verbal Arithmetic,REMA_Title,NumberFormatting,xxxx.x
DV18mo,2F0803BF-514A-41ED-B61E-3C2526894BED,859711C8-D798-442E-8CB4-55847E2642F4,Assessment 5,Verbal Arithmetic,REMA_Instructions,InstrumentOrder,1
DV18mo,2F0803BF-514A-41ED-B61E-3C2526894BED,859711C8-D798-442E-8CB4-55847E2642F4,Assessment 5,Verbal Arithmetic,REMA_Instructions,InstrumentSection,2
DV18mo,2F0803BF-514A-41ED-B61E-3C2526894BED,859711C8-D798-442E-8CB4-55847E2642F4,Assessment 5,Verbal Arithmetic,REMA_Instructions,ItemOrder,1
DV18mo,2F0803BF-514A-41ED-B61E-3C2526894BED,859711C8-D798-442E-8CB4-55847E2642F4,Assessment 5,Verbal Arithmetic,REMA_Instructions,Response,1
