PID,RegistrationID,AssessmentName,InstrumentID,InstrumentName,ItemID,Response,Score,TScore,TScoreStandardError,Theta,ThetaStandardError,Position,ResponseTime,DateCreated,NumberFormatting
567,651BA64C-3F6D-493B-9544-38B8A629A5D0,MEO RT 2823 3,3D58AACB-5286-430E-9BD2-7A3702074D25,Mullen Expressive Observational,Mullen_ExpObs_Title,1,,,,,,1,,2023-02-08T10:47:19-0600,xxxx.x
567,651BA64C-3F6D-493B-9544-38B8A629A5D0,MEO RT 2823 3,3D58AACB-5286-430E-9BD2-7A3702074D25,Mullen Expressive Observational,Mullen_ExpObs_Instruction,1,,,,,,2,,2023-02-08T10:48:49-0600,xxxx.x
567,651BA64C-3F6D-493B-9544-38B8A629A5D0,MEO RT 2823 3,3D58AACB-5286-430E-9BD2-7A3702074D25,Mullen Expressive Observational,EL2 ,0,0,,,,,3,,2023-02-08T10:49:16-0600,xxxx.x
567,651BA64C-3F6D-493B-9544-38B8A629A5D0,MEO RT 2823 3,3D58AACB-5286-430E-9BD2-7A3702074D25,Mullen Expressive Observational,EL3,0,0,,,,,4,,2023-02-08T10:49:16-0600,xxxx.x
567,651BA64C-3F6D-493B-9544-38B8A629A5D0,MEO RT 2823 3,3D58AACB-5286-430E-9BD2-7A3702074D25,Mullen Expressive Observational,EL4,0,0,,,,,5,,2023-02-08T10:49:16-0600,xxxx.x
567,651BA64C-3F6D-493B-9544-38B8A629A5D0,MEO RT 2823 3,3D58AACB-5286-430E-9BD2-7A3702074D25,Mullen Expressive Observational,EL5,0,0,,,,,6,,2023-02-08T10:49:16-0600,xxxx.x
567,651BA64C-3F6D-493B-9544-38B8A629A5D0,MEO RT 2823 3,3D58AACB-5286-430E-9BD2-7A3702074D25,Mullen Expressive Observational,EL6,0,0,,,,,7,,2023-02-08T10:49:16-0600,xxxx.x
567,651BA64C-3F6D-493B-9544-38B8A629A5D0,MEO RT 2823 3,3D58AACB-5286-430E-9BD2-7A3702074D25,Mullen Expressive Observational,EL8,0,0,,,,,8,,2023-02-08T10:49:16-0600,xxxx.x
567,651BA64C-3F6D-493B-9544-38B8A629A5D0,MEO RT 2823 3,3D58AACB-5286-430E-9BD2-7A3702074D25,Mullen Expressive Observational,EL12,0,0,,,,,9,,2023-02-08T10:49:16-0600,xxxx.x
567,651BA64C-3F6D-493B-9544-38B8A629A5D0,MEO RT 2823 3,3D58AACB-5286-430E-9BD2-7A3702074D25,Mullen Expressive Observational,EL13,0,0,,,,,10,,2023-02-08T10:49:16-0600,xxxx.x
567,651BA64C-3F6D-493B-9544-38B8A629A5D0,MEO RT 2823 3,3D58AACB-5286-430E-9BD2-7A3702074D25,Mullen Expressive Observational,EL14,1,1,,,,,11,,2023-02-08T10:49:16-0600,xxxx.x
567,651BA64C-3F6D-493B-9544-38B8A629A5D0,MEO RT 2823 3,3D58AACB-5286-430E-9BD2-7A3702074D25,Mullen Expressive Observational,EL17,1,1,,,,,12,,2023-02-08T10:49:16-0600,xxxx.x
567,651BA64C-3F6D-493B-9544-38B8A629A5D0,MEO RT 2823 3,3D58AACB-5286-430E-9BD2-7A3702074D25,Mullen Expressive Observational,EL19,1,1,,,,,13,,2023-02-08T10:49:16-0600,xxxx.x
567,651BA64C-3F6D-493B-9544-38B8A629A5D0,MEO RT 2823 3,3D58AACB-5286-430E-9BD2-7A3702074D25,Mullen Expressive Observational,EL22,0,0,,,,,14,,2023-02-08T10:49:16-0600,xxxx.x
567,2353FF1E-7FBE-4762-A019-E8AB8C4884AD,MEO RT 2723 1,295731E1-17F5-48E6-A138-9D756DA2B742,Mullen Expressive Observational,Mullen_ExpObs_Title,1,,,,,,1,,2023-02-07T16:47:46-0600,xxxx.x
567,2353FF1E-7FBE-4762-A019-E8AB8C4884AD,MEO RT 2723 1,295731E1-17F5-48E6-A138-9D756DA2B742,Mullen Expressive Observational,Mullen_ExpObs_Instruction,1,,,,,,2,,2023-02-07T16:48:04-0600,xxxx.x
567,2353FF1E-7FBE-4762-A019-E8AB8C4884AD,MEO RT 2723 1,295731E1-17F5-48E6-A138-9D756DA2B742,Mullen Expressive Observational,EL2 ,0,0,,,,,3,,2023-02-07T16:48:52-0600,xxxx.x
567,2353FF1E-7FBE-4762-A019-E8AB8C4884AD,MEO RT 2723 1,295731E1-17F5-48E6-A138-9D756DA2B742,Mullen Expressive Observational,EL3,0,0,,,,,4,,2023-02-07T16:48:52-0600,xxxx.x
567,2353FF1E-7FBE-4762-A019-E8AB8C4884AD,MEO RT 2723 1,295731E1-17F5-48E6-A138-9D756DA2B742,Mullen Expressive Observational,EL4,0,0,,,,,5,,2023-02-07T16:48:52-0600,xxxx.x
567,2353FF1E-7FBE-4762-A019-E8AB8C4884AD,MEO RT 2723 1,295731E1-17F5-48E6-A138-9D756DA2B742,Mullen Expressive Observational,EL5,0,0,,,,,6,,2023-02-07T16:48:52-0600,xxxx.x
567,2353FF1E-7FBE-4762-A019-E8AB8C4884AD,MEO RT 2723 1,295731E1-17F5-48E6-A138-9D756DA2B742,Mullen Expressive Observational,EL6,0,0,,,,,7,,2023-02-07T16:48:52-0600,xxxx.x
567,2353FF1E-7FBE-4762-A019-E8AB8C4884AD,MEO RT 2723 1,295731E1-17F5-48E6-A138-9D756DA2B742,Mullen Expressive Observational,EL8,0,0,,,,,8,,2023-02-07T16:48:52-0600,xxxx.x
567,2353FF1E-7FBE-4762-A019-E8AB8C4884AD,MEO RT 2723 1,295731E1-17F5-48E6-A138-9D756DA2B742,Mullen Expressive Observational,EL12,0,0,,,,,9,,2023-02-07T16:48:52-0600,xxxx.x
567,2353FF1E-7FBE-4762-A019-E8AB8C4884AD,MEO RT 2723 1,295731E1-17F5-48E6-A138-9D756DA2B742,Mullen Expressive Observational,EL13,0,0,,,,,10,,2023-02-07T16:48:52-0600,xxxx.x
567,2353FF1E-7FBE-4762-A019-E8AB8C4884AD,MEO RT 2723 1,295731E1-17F5-48E6-A138-9D756DA2B742,Mullen Expressive Observational,EL14,1,1,,,,,11,,2023-02-07T16:48:52-0600,xxxx.x
567,2353FF1E-7FBE-4762-A019-E8AB8C4884AD,MEO RT 2723 1,295731E1-17F5-48E6-A138-9D756DA2B742,Mullen Expressive Observational,EL17,1,1,,,,,12,,2023-02-07T16:48:52-0600,xxxx.x
567,2353FF1E-7FBE-4762-A019-E8AB8C4884AD,MEO RT 2723 1,295731E1-17F5-48E6-A138-9D756DA2B742,Mullen Expressive Observational,EL19,0,0,,,,,13,,2023-02-07T16:48:52-0600,xxxx.x
567,2353FF1E-7FBE-4762-A019-E8AB8C4884AD,MEO RT 2723 1,295731E1-17F5-48E6-A138-9D756DA2B742,Mullen Expressive Observational,EL22,0,0,,,,,14,,2023-02-07T16:48:52-0600,xxxx.x
567,18DA3CB5-4678-4AC1-B0A8-D191031C9254,MEO RT 2723 2,EB7135D8-F1D7-4411-9C51-89AC0687DE3D,Mullen Expressive Observational,Mullen_ExpObs_Title,1,,,,,,1,,2023-02-08T10:45:50-0600,xxxx.x
567,18DA3CB5-4678-4AC1-B0A8-D191031C9254,MEO RT 2723 2,EB7135D8-F1D7-4411-9C51-89AC0687DE3D,Mullen Expressive Observational,Mullen_ExpObs_Instruction,1,,,,,,2,,2023-02-08T10:45:51-0600,xxxx.x
567,18DA3CB5-4678-4AC1-B0A8-D191031C9254,MEO RT 2723 2,EB7135D8-F1D7-4411-9C51-89AC0687DE3D,Mullen Expressive Observational,EL2 ,0,0,,,,,3,,2023-02-08T10:45:53-0600,xxxx.x
567,18DA3CB5-4678-4AC1-B0A8-D191031C9254,MEO RT 2723 2,EB7135D8-F1D7-4411-9C51-89AC0687DE3D,Mullen Expressive Observational,EL3,0,0,,,,,4,,2023-02-08T10:45:53-0600,xxxx.x
567,18DA3CB5-4678-4AC1-B0A8-D191031C9254,MEO RT 2723 2,EB7135D8-F1D7-4411-9C51-89AC0687DE3D,Mullen Expressive Observational,EL4,1,1,,,,,5,,2023-02-08T10:45:53-0600,xxxx.x
567,18DA3CB5-4678-4AC1-B0A8-D191031C9254,MEO RT 2723 2,EB7135D8-F1D7-4411-9C51-89AC0687DE3D,Mullen Expressive Observational,EL5,0,0,,,,,6,,2023-02-08T10:45:53-0600,xxxx.x
567,18DA3CB5-4678-4AC1-B0A8-D191031C9254,MEO RT 2723 2,EB7135D8-F1D7-4411-9C51-89AC0687DE3D,Mullen Expressive Observational,EL6,1,1,,,,,7,,2023-02-08T10:45:53-0600,xxxx.x
567,18DA3CB5-4678-4AC1-B0A8-D191031C9254,MEO RT 2723 2,EB7135D8-F1D7-4411-9C51-89AC0687DE3D,Mullen Expressive Observational,EL8,0,0,,,,,8,,2023-02-08T10:45:53-0600,xxxx.x
567,18DA3CB5-4678-4AC1-B0A8-D191031C9254,MEO RT 2723 2,EB7135D8-F1D7-4411-9C51-89AC0687DE3D,Mullen Expressive Observational,EL12,0,0,,,,,9,,2023-02-08T10:45:53-0600,xxxx.x
567,18DA3CB5-4678-4AC1-B0A8-D191031C9254,MEO RT 2723 2,EB7135D8-F1D7-4411-9C51-89AC0687DE3D,Mullen Expressive Observational,EL13,0,0,,,,,10,,2023-02-08T10:45:53-0600,xxxx.x
567,18DA3CB5-4678-4AC1-B0A8-D191031C9254,MEO RT 2723 2,EB7135D8-F1D7-4411-9C51-89AC0687DE3D,Mullen Expressive Observational,EL14,0,0,,,,,11,,2023-02-08T10:45:53-0600,xxxx.x
567,18DA3CB5-4678-4AC1-B0A8-D191031C9254,MEO RT 2723 2,EB7135D8-F1D7-4411-9C51-89AC0687DE3D,Mullen Expressive Observational,EL17,0,0,,,,,12,,2023-02-08T10:45:53-0600,xxxx.x
