PID,RegistrationID,AssessmentName,InstrumentID,InstrumentName,ItemID,Response,Score,TScore,TScoreStandardError,Theta,ThetaStandardError,Position,ResponseTime,DateCreated,NumberFormatting
567,C758FD0E-1B3C-44D2-91F4-629389370D33,MR RT 21023 6,1BCD3BF1-DE07-4351-94A8-48B1D89F6136,Mullen Receptive,Mullen_Rec_Title,1,,,,,,1,,2023-02-10T10:53:06-0600,xxxx.x
567,C758FD0E-1B3C-44D2-91F4-629389370D33,MR RT 21023 6,1BCD3BF1-DE07-4351-94A8-48B1D89F6136,Mullen Receptive,Mullen_Rec_Instructions,1,,,,,,2,,2023-02-10T10:53:07-0600,xxxx.x
567,C758FD0E-1B3C-44D2-91F4-629389370D33,MR RT 21023 6,1BCD3BF1-DE07-4351-94A8-48B1D89F6136,Mullen Receptive,RL13,2,0,,,,,3,,2023-02-10T10:53:32-0600,xxxx.x
567,C758FD0E-1B3C-44D2-91F4-629389370D33,MR RT 21023 6,1BCD3BF1-DE07-4351-94A8-48B1D89F6136,Mullen Receptive,RL10,2,0,,,,,4,,2023-02-10T10:53:36-0600,xxxx.x
567,C758FD0E-1B3C-44D2-91F4-629389370D33,MR RT 21023 6,1BCD3BF1-DE07-4351-94A8-48B1D89F6136,Mullen Receptive,RL9,1,1,,,,,5,,2023-02-10T10:53:39-0600,xxxx.x
567,C6EA0322-67AF-46A1-965A-966F1A7092B9,MR RT 21023 3,34FD8FF1-9F50-4AC4-AC69-8FFEF59A4F2D,Mullen Receptive,Mullen_Rec_Title,1,,,,,,1,,2023-02-10T10:37:56-0600,xxxx.x
567,C6EA0322-67AF-46A1-965A-966F1A7092B9,MR RT 21023 3,34FD8FF1-9F50-4AC4-AC69-8FFEF59A4F2D,Mullen Receptive,Mullen_Rec_Instructions,1,,,,,,2,,2023-02-10T10:37:57-0600,xxxx.x
567,C6EA0322-67AF-46A1-965A-966F1A7092B9,MR RT 21023 3,34FD8FF1-9F50-4AC4-AC69-8FFEF59A4F2D,Mullen Receptive,RL1,2,0,,,,,3,,2023-02-10T10:38:09-0600,xxxx.x
567,C6EA0322-67AF-46A1-965A-966F1A7092B9,MR RT 21023 3,34FD8FF1-9F50-4AC4-AC69-8FFEF59A4F2D,Mullen Receptive,RL3,1,1,,,,,4,,2023-02-10T10:38:12-0600,xxxx.x
567,C6EA0322-67AF-46A1-965A-966F1A7092B9,MR RT 21023 3,34FD8FF1-9F50-4AC4-AC69-8FFEF59A4F2D,Mullen Receptive,RL5,1,1,,,,,5,,2023-02-10T10:38:18-0600,xxxx.x
567,C6EA0322-67AF-46A1-965A-966F1A7092B9,MR RT 21023 3,34FD8FF1-9F50-4AC4-AC69-8FFEF59A4F2D,Mullen Receptive,RL6,2,0,,,,,6,,2023-02-10T10:38:21-0600,xxxx.x
567,C6EA0322-67AF-46A1-965A-966F1A7092B9,MR RT 21023 3,34FD8FF1-9F50-4AC4-AC69-8FFEF59A4F2D,Mullen Receptive,RL9,2,0,,,,,7,,2023-02-10T10:38:24-0600,xxxx.x
567,97EF9CB8-9E87-4C1B-B6E2-AFCB9FB13B96,MR RT 21023 8,32003C6F-B54F-4B3F-BB41-8DF7B575589A,Mullen Receptive,Mullen_Rec_Title,1,,,,,,1,,2023-02-10T10:58:23-0600,xxxx.x
567,97EF9CB8-9E87-4C1B-B6E2-AFCB9FB13B96,MR RT 21023 8,32003C6F-B54F-4B3F-BB41-8DF7B575589A,Mullen Receptive,Mullen_Rec_Instructions,1,,,,,,2,,2023-02-10T10:58:25-0600,xxxx.x
567,97EF9CB8-9E87-4C1B-B6E2-AFCB9FB13B96,MR RT 21023 8,32003C6F-B54F-4B3F-BB41-8DF7B575589A,Mullen Receptive,RL18_instruction,1,,,,,,3,,2023-02-10T10:58:46-0600,xxxx.x
567,97EF9CB8-9E87-4C1B-B6E2-AFCB9FB13B96,MR RT 21023 8,32003C6F-B54F-4B3F-BB41-8DF7B575589A,Mullen Receptive,RL18_image,1,,,,,,4,,2023-02-10T10:58:47-0600,xxxx.x
567,97EF9CB8-9E87-4C1B-B6E2-AFCB9FB13B96,MR RT 21023 8,32003C6F-B54F-4B3F-BB41-8DF7B575589A,Mullen Receptive,RL18,8,0,,,,,5,,2023-02-10T10:58:48-0600,xxxx.x
567,97EF9CB8-9E87-4C1B-B6E2-AFCB9FB13B96,MR RT 21023 8,32003C6F-B54F-4B3F-BB41-8DF7B575589A,Mullen Receptive,RL16,2,0,,,,,6,,2023-02-10T10:58:51-0600,xxxx.x
567,97EF9CB8-9E87-4C1B-B6E2-AFCB9FB13B96,MR RT 21023 8,32003C6F-B54F-4B3F-BB41-8DF7B575589A,Mullen Receptive,RL15,1,1,,,,,7,,2023-02-10T10:58:54-0600,xxxx.x
567,1B4CE8C1-B53E-4412-8B5D-59A079E39D99,MR RT 21023 5,6B6A3038-88A2-404E-939B-C9CA7BE65EF8,Mullen Receptive,Mullen_Rec_Title,1,,,,,,1,,2023-02-10T10:45:34-0600,xxxx.x
567,1B4CE8C1-B53E-4412-8B5D-59A079E39D99,MR RT 21023 5,6B6A3038-88A2-404E-939B-C9CA7BE65EF8,Mullen Receptive,Mullen_Rec_Instructions,1,,,,,,2,,2023-02-10T10:45:35-0600,xxxx.x
567,1B4CE8C1-B53E-4412-8B5D-59A079E39D99,MR RT 21023 5,6B6A3038-88A2-404E-939B-C9CA7BE65EF8,Mullen Receptive,RL9,1,1,,,,,3,,2023-02-10T10:46:23-0600,xxxx.x
567,1B4CE8C1-B53E-4412-8B5D-59A079E39D99,MR RT 21023 5,6B6A3038-88A2-404E-939B-C9CA7BE65EF8,Mullen Receptive,RL10,1,1,,,,,4,,2023-02-10T10:46:24-0600,xxxx.x
567,1B4CE8C1-B53E-4412-8B5D-59A079E39D99,MR RT 21023 5,6B6A3038-88A2-404E-939B-C9CA7BE65EF8,Mullen Receptive,RL13,1,1,,,,,5,,2023-02-10T10:46:25-0600,xxxx.x
567,1B4CE8C1-B53E-4412-8B5D-59A079E39D99,MR RT 21023 5,6B6A3038-88A2-404E-939B-C9CA7BE65EF8,Mullen Receptive,RL15,1,1,,,,,6,,2023-02-10T10:46:25-0600,xxxx.x
567,1B4CE8C1-B53E-4412-8B5D-59A079E39D99,MR RT 21023 5,6B6A3038-88A2-404E-939B-C9CA7BE65EF8,Mullen Receptive,RL16,1,1,,,,,7,,2023-02-10T10:46:26-0600,xxxx.x
567,1B4CE8C1-B53E-4412-8B5D-59A079E39D99,MR RT 21023 5,6B6A3038-88A2-404E-939B-C9CA7BE65EF8,Mullen Receptive,RL17,1,1,,,,,8,,2023-02-10T10:46:28-0600,xxxx.x
