PID,RegistrationID,AssessmentName,InstrumentID,InstrumentName,ItemID,Response,Score,TScore,TScoreStandardError,Theta,ThetaStandardError,Position,ResponseTime,DateCreated,NumberFormatting
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,008CCFEE-E060-410A-A8BD-0DE65B67D6F6,Children's Behavior Questionnaire - Very Short Form,RothCBQ_Title,1,,,,,,1,,2023-02-09T13:33:16-0600,xxxx.x
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,008CCFEE-E060-410A-A8BD-0DE65B67D6F6,Children's Behavior Questionnaire - Very Short Form,SelfReg_Intro_CBQ ,1,,,,,,2,,2023-02-09T13:34:02-0600,xxxx.x
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,008CCFEE-E060-410A-A8BD-0DE65B67D6F6,Children's Behavior Questionnaire - Very Short Form,SelfReg_CBQ1,1,1,,,,,3,1.853,2023-02-09T13:34:06-0600,xxxx.x
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,008CCFEE-E060-410A-A8BD-0DE65B67D6F6,Children's Behavior Questionnaire - Very Short Form,SelfReg_CBQ2,2,2,,,,,4,0.410,2023-02-09T13:34:41-0600,xxxx.x
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,008CCFEE-E060-410A-A8BD-0DE65B67D6F6,Children's Behavior Questionnaire - Very Short Form,SelfReg_CBQ3,3,3,,,,,5,0.544,2023-02-09T13:34:45-0600,xxxx.x
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,008CCFEE-E060-410A-A8BD-0DE65B67D6F6,Children's Behavior Questionnaire - Very Short Form,SelfReg_CBQ4,4,4,,,,,6,0.536,2023-02-09T13:34:46-0600,xxxx.x
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,008CCFEE-E060-410A-A8BD-0DE65B67D6F6,Children's Behavior Questionnaire - Very Short Form,SelfReg_CBQ5,5,5,,,,,7,2.752,2023-02-09T13:34:56-0600,xxxx.x
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,008CCFEE-E060-410A-A8BD-0DE65B67D6F6,Children's Behavior Questionnaire - Very Short Form,SelfReg_CBQ6,-1,,,,,,8,,2023-02-09T13:35:01-0600,xxxx.x
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,008CCFEE-E060-410A-A8BD-0DE65B67D6F6,Children's Behavior Questionnaire - Very Short Form,SelfReg_CBQ7,6,6,,,,,9,4.420,2023-02-09T13:35:05-0600,xxxx.x
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,008CCFEE-E060-410A-A8BD-0DE65B67D6F6,Children's Behavior Questionnaire - Very Short Form,SelfReg_CBQ8,7,7,,,,,10,341.356,2023-02-09T13:35:06-0600,xxxx.x
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,008CCFEE-E060-410A-A8BD-0DE65B67D6F6,Children's Behavior Questionnaire - Very Short Form,SelfReg_CBQ9,-2,,,,,,11,2.777,2023-02-09T13:35:06-0600,xxxx.x
