PID,RegistrationID,AssessmentName,InstrumentID,InstrumentName,ItemID,Response,Score,TScore,TScoreStandardError,Theta,ThetaStandardError,Position,ResponseTime,DateCreated,NumberFormatting
NBT_PROMIS_12m,0F8FDF3A-C344-4337-9CD9-56D4D9D90695,ICBQ-VSF,7F416CEC-94CE-4271-A725-D39C7748AAA5,Infant Behavior Questionnaire - Revised - Very Short Form,RothIBQ-R_Title,1,,,,,,1,,2023-02-09T18:17:59-0600,xxxx.x
NBT_PROMIS_12m,0F8FDF3A-C344-4337-9CD9-56D4D9D90695,ICBQ-VSF,7F416CEC-94CE-4271-A725-D39C7748AAA5,Infant Behavior Questionnaire - Revised - Very Short Form,SelfReg_Intro_IBQ-R,1,,,,,,2,,2023-02-09T18:18:06-0600,xxxx.x
NBT_PROMIS_12m,0F8FDF3A-C344-4337-9CD9-56D4D9D90695,ICBQ-VSF,7F416CEC-94CE-4271-A725-D39C7748AAA5,Infant Behavior Questionnaire - Revised - Very Short Form,SelfReg_ibqrvsh1,1,1,,,,,3,1.710,2023-02-09T18:18:07-0600,xxxx.x
NBT_PROMIS_12m,0F8FDF3A-C344-4337-9CD9-56D4D9D90695,ICBQ-VSF,7F416CEC-94CE-4271-A725-D39C7748AAA5,Infant Behavior Questionnaire - Revised - Very Short Form,SelfReg_ibqrvsh2,2,2,,,,,4,0.443,2023-02-09T18:18:25-0600,xxxx.x
NBT_PROMIS_12m,0F8FDF3A-C344-4337-9CD9-56D4D9D90695,ICBQ-VSF,7F416CEC-94CE-4271-A725-D39C7748AAA5,Infant Behavior Questionnaire - Revised - Very Short Form,SelfReg_ibqrvsh3,3,3,,,,,5,0.435,2023-02-09T18:18:30-0600,xxxx.x
NBT_PROMIS_12m,0F8FDF3A-C344-4337-9CD9-56D4D9D90695,ICBQ-VSF,7F416CEC-94CE-4271-A725-D39C7748AAA5,Infant Behavior Questionnaire - Revised - Very Short Form,SelfReg_ibqrvsh4,4,4,,,,,6,0.359,2023-02-09T18:18:30-0600,xxxx.x
NBT_PROMIS_12m,0F8FDF3A-C344-4337-9CD9-56D4D9D90695,ICBQ-VSF,7F416CEC-94CE-4271-A725-D39C7748AAA5,Infant Behavior Questionnaire - Revised - Very Short Form,SelfReg_ibqrvsh5,5,5,,,,,7,0.468,2023-02-09T18:18:31-0600,xxxx.x
NBT_PROMIS_12m,0F8FDF3A-C344-4337-9CD9-56D4D9D90695,ICBQ-VSF,7F416CEC-94CE-4271-A725-D39C7748AAA5,Infant Behavior Questionnaire - Revised - Very Short Form,SelfReg_ibqrvsh6,6,6,,,,,8,1.435,2023-02-09T18:18:39-0600,xxxx.x
NBT_PROMIS_12m,0F8FDF3A-C344-4337-9CD9-56D4D9D90695,ICBQ-VSF,7F416CEC-94CE-4271-A725-D39C7748AAA5,Infant Behavior Questionnaire - Revised - Very Short Form,SelfReg_ibqrvsh7,7,7,,,,,9,0.485,2023-02-09T18:18:40-0600,xxxx.x
NBT_PROMIS_12m,0F8FDF3A-C344-4337-9CD9-56D4D9D90695,ICBQ-VSF,7F416CEC-94CE-4271-A725-D39C7748AAA5,Infant Behavior Questionnaire - Revised - Very Short Form,SelfReg_ibqrvsh8,-2,,,,,,10,1.677,2023-02-09T18:18:41-0600,xxxx.x
