Score,RawScore,Total,SharesAttention,SharesEnjoyment,SharesInterests,Play,JointAttention,PretendPlay,ProsocialBehavior,SocialCommunicationSum
RawScore,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,0.9999999999999999,0.4630357299996099,0.6583942787318464,0.8016244415924721,0.8293253415341668,0.4237218155066578,0.5914263198836808,0.33790948435426615,0.7847154850039707
SharesAttention,NA,0.4630357299996099,1,0.1461925355507747,0.18377291415476868,0.16763210744927673,NA,NA,NA,NA
SharesEnjoyment,NA,0.6583942787318464,0.1461925355507747,0.9999999999999999,0.4440497163218243,0.4463928265574307,NA,NA,NA,NA
SharesInterests,NA,0.8016244415924721,0.18377291415476868,0.4440497163218243,1,0.5700286172510057,NA,NA,NA,NA
Play,NA,0.8293253415341668,0.16763210744927673,0.4463928265574307,0.5700286172510057,0.9999999999999997,NA,NA,NA,NA
JointAttention,NA,0.4237218155066578,NA,NA,NA,NA,1,-0.009524759270923932,-0.056203626708711325,0.1972451839976207
PretendPlay,NA,0.5914263198836808,NA,NA,NA,NA,-0.009524759270923932,1,0.03825351703396987,0.2970878213521726
ProsocialBehavior,NA,0.33790948435426615,NA,NA,NA,NA,-0.056203626708711325,0.03825351703396987,0.9999999999999999,0.04696029072560116
SocialCommunicationSum,NA,0.7847154850039707,NA,NA,NA,NA,0.1972451839976207,0.2970878213521726,0.04696029072560116,1
